,code_num,name,c_name_x,c_name_y
0,300723,一品红,,次新股
1,300382,斯莱克,,机械行业
2,603232,格尔软件,,
3,603685,晨丰科技,,次新股
4,002303,美盈森,军工航天,造纸行业
5,002303,美盈森,军民融合,造纸行业
6,002303,美盈森,业绩预升,造纸行业
7,002303,美盈森,物联网,造纸行业
8,600547,山东黄金,资产注入,有色金属
9,600547,山东黄金,融资融券,有色金属
10,600547,山东黄金,社保重仓,有色金属
11,600547,山东黄金,黄金概念,有色金属
12,600547,山东黄金,超大盘,有色金属
13,600547,山东黄金,基金重仓,有色金属
14,600547,山东黄金,保险重仓,有色金属
15,300291,华录百纳,体育概念,传媒娱乐
16,300542,新晨科技,次新股,
17,300542,新晨科技,军工航天,
18,002351,漫步者,,电子信息
19,300570,太辰光,次新股,
20,600476,湘邮科技,阿里概念,电子信息
21,600476,湘邮科技,金融参股,电子信息
22,600476,湘邮科技,国产软件,电子信息
23,600476,湘邮科技,智能交通,电子信息
24,600476,湘邮科技,长株潭,电子信息
25,603138,海量数据,,
26,300566,激智科技,次新股,
27,300265,通光线缆,本月解禁,电器行业
28,300265,通光线缆,军工航天,电器行业
29,300265,通光线缆,军民融合,电器行业
30,600482,中国动力,锂电池,电器行业
31,600482,中国动力,军工航天,电器行业
32,600482,中国动力,雄安新区,电器行业
33,600482,中国动力,重组概念,电器行业
34,600482,中国动力,太阳能,电器行业
35,600482,中国动力,京津冀,电器行业
36,600482,中国动力,军民融合,电器行业
37,600482,中国动力,涉矿概念,电器行业
38,600482,中国动力,新能源,电器行业
39,603555,贵人鸟,体育概念,服装鞋类
40,603936,博敏电子,军民融合,
41,002755,东方新星,,其它行业
42,000893,*ST东凌,,
43,603861,白云电器,次新股,
44,002337,赛象科技,股权激励,机械行业
45,002337,赛象科技,业绩预升,机械行业
46,603650,彤程新材,,
47,000982,*ST中绒,,
48,300267,尔康制药,O2O模式,生物制药
49,300267,尔康制药,新零售,生物制药
50,300267,尔康制药,长株潭,生物制药
51,300267,尔康制药,维生素,生物制药
52,603811,诚意药业,,
53,002081,金螳螂,,
54,600572,康恩贝,资产注入,生物制药
55,600572,康恩贝,金融改革,生物制药
56,600572,康恩贝,分拆上市,生物制药
57,600572,康恩贝,生物疫苗,生物制药
58,600572,康恩贝,抗癌,生物制药
59,600572,康恩贝,甲型流感,生物制药
60,600572,康恩贝,业绩预升,生物制药
61,600572,康恩贝,免疫治疗,生物制药
62,603908,牧高笛,,
63,000677,恒天海龙,黄河三角,化纤行业
64,000677,恒天海龙,摘帽概念,化纤行业
65,002618,丹邦科技,智能穿戴,电子器件
66,000766,通化金马,生物疫苗,生物制药
67,000766,通化金马,参股金融,生物制药
68,000766,通化金马,抗癌,生物制药
69,000766,通化金马,图们江,生物制药
70,300738,奥飞数据,,
71,002565,顺灏股份,业绩预升,造纸行业
72,603733,仙鹤股份,,
73,300174,元力股份,海峡西岸,化工行业
74,300174,元力股份,业绩预降,化工行业
75,300189,神农基因,生态农业,农林牧渔
76,300189,神农基因,生物育种,农林牧渔
77,002464,众应互联,,塑料制品
78,000810,创维数字,券商重仓,电子器件
79,000810,创维数字,成渝特区,电子器件
80,002878,元隆雅图,,
81,002707,众信旅游,重组概念,酒店旅游
82,002707,众信旅游,新三板,酒店旅游
83,603668,天马科技,,
84,300154,瑞凌股份,机器人概念,电子器件
85,300154,瑞凌股份,智能机器,电子器件
86,002699,美盛文化,本月解禁,
87,002699,美盛文化,网络游戏,
88,002699,美盛文化,参股金融,
89,002699,美盛文化,婴童概念,
90,002699,美盛文化,农村金融,
91,002699,美盛文化,IP变现,
92,000158,常山北明,参股金融,纺织行业
93,000158,常山北明,金融参股,纺织行业
94,000158,常山北明,创投概念,纺织行业
95,000826,启迪桑德,O2O模式,环保行业
96,000826,启迪桑德,固废处理,环保行业
97,000826,启迪桑德,融资融券,环保行业
98,000826,启迪桑德,新零售,环保行业
99,000826,启迪桑德,节能环保,环保行业
100,000826,启迪桑德,基金重仓,环保行业
101,000826,启迪桑德,低碳经济,环保行业
102,000826,启迪桑德,污水处理,环保行业
103,000826,启迪桑德,循环经济,环保行业
104,000826,启迪桑德,股权激励,环保行业
105,000826,启迪桑德,金融参股,环保行业
106,300468,四方精创,,其它行业
107,002189,利达光电,太阳能,电子器件
108,002189,利达光电,业绩预降,电子器件
109,300260,新莱应材,食品安全,机械行业
110,300260,新莱应材,业绩预降,机械行业
111,300142,沃森生物,生物疫苗,生物制药
112,300142,沃森生物,新三板,生物制药
113,300142,沃森生物,股权激励,生物制药
114,300142,沃森生物,婴童概念,生物制药
115,600671,天目药业,,生物制药
116,600489,中金黄金,融资融券,有色金属
117,600489,中金黄金,黄金概念,有色金属
118,600489,中金黄金,央企50,有色金属
119,600489,中金黄金,保险重仓,有色金属
120,603577,汇金通,次新股,
121,002155,湖南黄金,融资融券,有色金属
122,002155,湖南黄金,社保重仓,有色金属
123,002155,湖南黄金,黄金概念,有色金属
124,002155,湖南黄金,长株潭,有色金属
125,002155,湖南黄金,业绩预降,有色金属
126,002445,ST中南,,
127,600203,福日电子,绿色照明,电子器件
128,600203,福日电子,三网融合,电子器件
129,600203,福日电子,智能穿戴,电子器件
130,600203,福日电子,海峡西岸,电子器件
131,000100,TCL集团,,
132,600745,闻泰科技,重组概念,房地产
133,600745,闻泰科技,养老概念,房地产
134,600745,闻泰科技,涉矿概念,房地产
135,601718,际华集团,军工航天,服装鞋类
136,601718,际华集团,参股金融,服装鞋类
137,601718,际华集团,体育概念,服装鞋类
138,300065,海兰信,军工航天,电子信息
139,300065,海兰信,海工装备,电子信息
140,300065,海兰信,军民融合,电子信息
141,600787,中储股份,资产注入,交通运输
142,600787,中储股份,整体上市,交通运输
143,600787,中储股份,金融改革,交通运输
144,600787,中储股份,融资融券,交通运输
145,600787,中储股份,雄安新区,交通运输
146,600787,中储股份,参股金融,交通运输
147,600787,中储股份,京津冀,交通运输
148,600787,中储股份,券商重仓,交通运输
149,600787,中储股份,铁路基建,交通运输
150,600787,中储股份,金融参股,交通运输
151,600787,中储股份,物联网,交通运输
152,300500,启迪设计,次新股,
153,300236,上海新阳,股权激励,化工行业
154,300236,上海新阳,智能穿戴,化工行业
155,603602,纵横通信,5G概念,
156,002265,西仪股份,军工航天,汽车制造
157,002265,西仪股份,重组概念,汽车制造
158,002265,西仪股份,准ST股,汽车制造
