,code,name,c_name
0,300006,莱美药业,生物制药
1,600876,洛阳玻璃,玻璃行业
2,002204,大连重工,机械行业
3,000880,潍柴重机,机械行业
4,300451,创业软件,其它行业
5,002619,艾格拉斯,水泥行业
6,600728,佳都科技,电子信息
7,600992,贵绳股份,钢铁行业
8,000501,鄂武商Ａ,商业百货
9,600638,新黄浦,房地产
10,300201,海伦哲,机械行业
11,600428,中远海特,交通运输
12,000506,中润资源,房地产
13,000620,新华联,房地产
14,002142,宁波银行,金融行业
15,600183,生益科技,电子器件
16,600984,建设机械,机械行业
17,603169,兰石重装,机械行业
18,601118,海南橡胶,化工行业
19,000700,模塑科技,汽车制造
20,000519,中兵红箭,机械行业
21,300092,科新机电,机械行业
22,600701,工大高新,综合行业
23,000020,深华发Ａ,电子器件
24,300154,瑞凌股份,电子器件
25,002446,盛路通信,电子信息
26,600416,湘电股份,发电设备
27,000417,合肥百货,商业百货
28,000504,南华生物,传媒娱乐
29,600397,安源煤业,煤炭行业
30,300238,冠昊生物,医疗器械
31,300225,金力泰,化工行业
32,000982,*ST 中绒,纺织行业
33,000918,嘉凯城,房地产
34,300251,光线传媒,传媒娱乐
35,002018,华信国际,农药化肥
36,002623,亚玛顿,玻璃行业
37,300214,日科化学,化工行业
38,002232,启明信息,电子信息
39,600292,远达环保,环保行业
40,002596,海南瑞泽,建筑建材
41,000837,秦川机床,机械行业
42,600990,四创电子,电子信息
43,600037,歌华有线,传媒娱乐
44,600605,汇通能源,物资外贸
45,000021,深科技,电子信息
46,600655,豫园股份,商业百货
47,000850,华茂股份,纺织行业
48,603166,福达股份,汽车制造
49,002306,*ST云网,酒店旅游
50,002365,永安药业,生物制药
51,601098,中南传媒,传媒娱乐
52,600814,杭州解百,商业百货
53,002194,武汉凡谷,电子信息
54,600213,亚星客车,汽车制造
55,002172,澳洋科技,化纤行业
56,603809,豪能股份,次新股
57,000626,远大控股,物资外贸
58,000561,烽火电子,电子信息
59,600101,明星电力,电力行业
60,300723,一品红,次新股
61,300144,宋城演艺,酒店旅游
62,300221,银禧科技,塑料制品
63,002163,中航三鑫,建筑建材
64,600190,锦州港,交通运输
65,002655,共达电声,电子器件
66,600767,*ST运盛,房地产
67,600098,广州发展,电力行业
68,600038,中直股份,飞机制造
69,600462,九有股份,造纸行业
70,600017,日照港,交通运输
71,002545,东方铁塔,钢铁行业
72,002118,紫鑫药业,生物制药
73,002260,德奥通航,家电行业
74,000409,山东地矿,钢铁行业
75,600505,西昌电力,电力行业
76,600815,*ST厦工,机械行业
77,600476,湘邮科技,电子信息
78,002520,日发精机,机械行业
79,600025,华能水电,次新股
80,600420,现代制药,生物制药
81,300250,初灵信息,电子信息
82,000912,*ST天化,农药化肥
83,002259,升达林业,家具行业
84,000750,国海证券,金融行业
85,002293,罗莱生活,服装鞋类
86,002094,青岛金王,化工行业
87,600787,中储股份,交通运输
88,600539,狮头股份,水泥行业
89,000628,高新发展,开发区
90,600151,航天机电,电子器件
91,600857,宁波中百,商业百货
92,000826,启迪桑德,环保行业
93,600610,中毅达,纺织机械
94,000532,华金资本,电子信息
95,600006,东风汽车,汽车制造
96,002102,冠福股份,陶瓷行业
97,600760,中航黑豹,汽车制造
98,600206,有研新材,电子器件
99,002338,奥普光电,仪器仪表
100,300130,新国都,电子信息
101,000790,泰合健康,生物制药
102,002503,搜于特,服装鞋类
103,600191,华资实业,食品行业
104,600475,华光股份,机械行业
105,000547,航天发展,电子信息
106,002733,雄韬股份,电器行业
107,603308,应流股份,机械行业
108,002578,闽发铝业,有色金属
109,603698,航天工程,机械行业
110,000915,山大华特,生物制药
111,603766,隆鑫通用,摩托车
112,600734,实达集团,电子信息
113,002417,三元达,电子信息
114,000677,恒天海龙,化纤行业
115,603017,中衡设计,建筑建材
116,600874,创业环保,环保行业
117,002270,华明装备,机械行业
118,002686,亿利达,机械行业
119,300080,易成新能,建筑建材
120,002643,万润股份,化工行业
121,600790,轻纺城,商业百货
122,000100,TCL 集团,家电行业
123,002513,蓝丰生化,农药化肥
124,600201,生物股份,生物制药
125,603598,引力传媒,其它行业
126,002013,中航机电,汽车制造
127,300021,大禹节水,农林牧渔
128,002615,哈尔斯,钢铁行业
129,601929,吉视传媒,传媒娱乐
130,600565,迪马股份,房地产
131,600697,欧亚集团,商业百货
132,000055,方大集团,建筑建材
133,600783,鲁信创投,其它行业
134,601000,唐山港,交通运输
135,000719,大地传媒,传媒娱乐
136,600717,天津港,交通运输
137,603661,恒林股份,次新股
138,600768,宁波富邦,有色金属
139,600893,航发动力,飞机制造
140,600794,保税科技,交通运输
141,600149,*ST坊展,机械行业
142,002753,永东股份,其它行业
143,002722,金轮股份,纺织机械
144,601515,东风股份,印刷包装
145,600155,宝硕股份,化工行业
146,600621,华鑫股份,房地产
147,600053,九鼎投资,房地产
148,600236,桂冠电力,电力行业
149,600891,秋林集团,商业百货
150,000737,南风化工,化工行业
151,600083,博信股份,电子器件
152,300131,英唐智控,电子器件
153,300303,聚飞光电,电子器件
154,300152,科融环境,机械行业
155,601058,赛轮金宇,汽车制造
156,000796,凯撒旅游,食品行业
157,603968,醋化股份,其它行业
158,002397,梦洁股份,服装鞋类
159,601801,皖新传媒,传媒娱乐
160,002130,沃尔核材,发电设备
161,002707,众信旅游,酒店旅游
162,600778,友好集团,商业百货
163,300263,隆华节能,机械行业
164,300129,泰胜风能,发电设备
165,002336,人人乐,商业百货
166,600967,内蒙一机,交通运输
167,002438,江苏神通,机械行业
168,600313,农发种业,农林牧渔
169,600076,康欣新材,电子信息
170,002398,建研集团,建筑建材
171,600316,洪都航空,飞机制造
172,600959,江苏有线,传媒娱乐
173,000595,*ST宝实,机械行业
174,300232,洲明科技,电子器件
175,002544,杰赛科技,电子信息
176,002518,科士达,仪器仪表
177,600051,宁波联合,综合行业
178,603126,中材节能,环保行业
179,002275,桂林三金,生物制药
180,002464,众应互联,塑料制品
181,600308,华泰股份,造纸行业
182,002228,合兴包装,印刷包装
183,002388,新亚制程,电子器件
184,300171,东富龙,医疗器械
185,002479,富春环保,电力行业
186,002305,南国置业,房地产
187,600850,华东电脑,电子信息
188,002569,步森股份,服装鞋类
189,601989,中国重工,船舶制造
190,300065,海兰信,电子信息
191,600510,黑牡丹,房地产
192,000156,华数传媒,传媒娱乐
193,601798,蓝科高新,机械行业
194,601226,华电重工,机械行业
195,000589,黔轮胎Ａ,汽车制造
196,000066,中国长城,电子信息
197,600634,富控互动,建筑建材
198,600831,广电网络,传媒娱乐
199,601008,连云港,交通运输
200,002030,达安基因,生物制药
201,002263,大 东 南,塑料制品
202,600074,ST保千里,电子信息
203,300002,神州泰岳,电子信息
204,002363,隆基机械,汽车制造
205,600716,凤凰股份,房地产
206,300382,斯莱克,机械行业
207,600444,国机通用,塑料制品
208,002469,三维工程,建筑建材
209,600617,国新能源,供水供气
210,000726,鲁 泰Ａ,纺织行业
211,000718,苏宁环球,房地产
212,002251,步 步 高,商业百货
213,002083,孚日股份,纺织行业
214,000625,长安汽车,汽车制造
215,601996,丰林集团,农林牧渔
