,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,002950,奥美医疗,0.38,,3.28,12.16,0.24,14092.18,,,02-19
1,300761,立华股份,2.69,348.83,,29.26,,97647.89,350.28,,01-22
2,601598,中国外运,0.32,10.34,3.75,8.78,-0.03,193799.79,11.69,,01-15
3,002947,恒铭达,0.94,51.45,,18.42,,8579.25,57.88,,01-14
4,603351,威尔药业,1.68,1.82,,14.98,,8410.16,1.78,,01-14
5,300758,七彩化学,1.07,13.83,,18.98,,8593.12,14.75,,01-09
6,002946,新乳业,0.23,4.55,,13.0,,17533.61,7.96,,01-08
7,300759,康龙化成,0.39,50.0,,10.92,,23062.85,48.48,,01-07
8,603185,上机数控,1.83,90.63,,,,17311.53,90.97,,12-27
9,300757,罗博特科,1.06,30.86,,25.34,,6388.99,31.54,,12-24
10,603629,利通电子,0.9,26.76,,,,6782.67,26.53,,12-21
11,300756,中山金马,3.15,6.42,,20.02,,9459.48,6.48,,12-17
12,002942,新农股份,1.21,86.15,3.85,34.22,1.03,10914.91,85.24,,12-04
13,603187,海容冷链,2.06,24.85,,,,12375.36,24.63,,11-28
14,002941,新疆交建,0.59,63.89,3.2,19.46,-1.81,33932.51,62.39,,11-27
15,300753,爱朋医疗,0.82,51.85,,16.71,,4957.75,51.02,,11-26
16,300752,隆利科技,2.53,,7.79,38.71,2.65,13763.06,,,11-19
17,601319,中国人保,0.29,-14.71,3.42,8.59,-0.72,1211800.0,-16.34,,11-15
18,603220,贝通信,0.28,698.59,3.27,9.06,-0.4,7180.5,699.4,,11-14
19,300751,迈为股份,3.61,31.27,11.53,37.01,1.75,14069.86,31.26,,11-08
20,300674,宇信科技,0.23,15.0,3.51,6.42,-0.73,8212.04,13.91,,11-06
21,601860,紫金银行,0.3,,,,,98746.99,12.31,,11-01
22,600745,闻泰科技,-0.27,-161.36,5.42,-4.9,2.93,-16938.83,-160.13,,10-31
23,000972,ST中基,-0.15,-246.72,,-14.23,,-11722.09,-246.71,,10-31
24,000585,*ST东电,0.04,-216.93,,,,3256.46,-216.8,,10-31
25,600452,涪陵电力,0.94,-16.07,,17.1,,21050.59,17.21,,10-31
26,000605,渤海股份,0.1,-61.83,,1.79,,3682.79,-45.17,,10-31
27,600834,申通地铁,0.05,-60.83,,,,2519.54,-60.83,,10-31
28,600854,春兰股份,0.2,92.94,,5.16,,10363.7,92.96,,10-31
29,600117,西宁特钢,-0.55,266.67,,-20.23,,-57610.43,257.42,,10-31
30,002716,金贵银业,0.34,-2.86,,5.77,,20958.49,12.43,,10-31
31,000673,当代东方,0.12,238.57,,4.42,,9725.41,238.03,,10-31
32,600870,*ST厦华,-0.02,51.43,,,,-831.88,52.06,,10-31
33,603085,天成自控,0.14,-36.36,,4.11,,4067.46,-17.14,,10-31
34,600887,伊利股份,0.83,2.47,,19.07,,504781.87,2.24,,10-31
35,600191,华资实业,-0.13,-277.87,,-3.11,,-6081.7,-277.96,,10-31
36,600587,新华医疗,0.38,1166.67,,4.56,,15369.35,1134.33,,10-31
37,600210,紫江企业,0.26,-41.5,,8.92,,39100.79,-41.57,,10-31
38,603986,兆易创新,1.31,-22.81,,19.99,,36733.96,8.21,,10-31
39,000007,全新好,-0.03,-183.89,,-2.26,,-866.06,-183.86,,10-31
40,601058,赛轮轮胎,0.19,137.5,,8.32,,51719.23,185.29,,10-31
41,000027,深圳能源,0.15,-24.86,,2.79,,60386.3,-24.86,,10-31
42,000830,鲁西化工,1.54,131.98,,25.85,,235142.67,119.39,,10-31
43,601117,中国化学,0.33,26.92,,5.61,,162578.76,25.78,,10-31
44,000046,泛海控股,0.35,48.68,,8.71,,181716.79,48.7,,10-31
45,000861,海印股份,0.06,12.6,,3.74,,13070.75,12.63,,10-31
46,601179,中国西电,0.05,-61.54,,1.3,,25128.95,-61.36,,10-31
47,601231,环旭电子,0.36,-10.0,,8.81,,77717.52,-9.81,,10-31
48,603399,吉翔股份,0.42,133.33,,10.35,,23136.81,148.1,,10-31
49,000928,中钢国际,0.22,-12.8,,6.09,,28168.75,-12.9,,10-31
50,600734,实达集团,0.2,48.07,,4.24,,12446.61,48.55,,10-31
51,000529,广弘控股,0.18,5.88,,7.43,,10412.16,5.74,,10-31
52,600008,首创股份,0.09,1.37,,3.42,,42919.66,1.44,,10-31
53,600027,华电国际,0.16,-745.83,,3.52,,152573.9,-742.7,,10-31
54,603658,安图生物,0.98,27.27,,24.11,,41101.37,27.01,,10-31
55,600403,大有能源,0.28,62.62,,9.22,,67304.29,62.67,,10-31
56,600071,凤凰光学,-0.02,-88.01,,-1.01,,-425.78,-87.99,,10-31
57,600822,上海物贸,0.08,76.39,,7.04,,4077.64,76.35,,10-31
58,000630,铜陵有色,0.06,65.79,,3.77,,66223.28,67.52,,10-31
59,600122,宏图高科,-0.31,-176.03,,-4.41,,-35580.38,-176.28,,10-31
60,600908,无锡银行,0.47,11.9,,8.52,,86235.4,11.81,,10-31
61,603157,拉夏贝尔,0.44,-29.03,,6.07,,23924.7,-29.58,,10-31
62,600190,锦州港,0.06,34.38,,1.9,,11484.73,34.39,,10-31
63,603938,三孚股份,0.58,-22.67,,8.65,,8714.09,-8.13,,10-31
64,600586,金晶科技,0.17,42.17,,5.75,,24874.15,45.91,,10-31
65,600984,建设机械,0.14,0.5,,3.56,,11648.81,30.63,,10-31
66,002503,搜于特,0.18,5.88,,10.02,,56327.21,4.12,,10-31
67,600640,号百控股,0.23,-11.27,,4.21,,18474.52,-11.27,,10-31
68,000829,天音控股,0.01,-75.23,,0.29,,855.08,-72.72,,10-31
69,600658,电子城,0.27,8.0,,4.72,,30378.65,52.03,,10-31
70,600678,四川金顶,0.09,-5329.41,,71.18,,3103.68,-5474.97,,10-31
71,600302,标准股份,-0.1,3925.0,,-2.8,,-3343.76,3933.07,,10-31
72,000908,景峰医药,0.13,13.42,,4.79,,11670.63,13.34,,10-31
73,600320,振华重工,0.04,-7.5,,1.29,,19492.99,14.01,,10-31
74,000415,渤海租赁,0.39,30.05,,7.26,,243557.5,30.05,,10-31
75,002905,金逸影视,0.51,-54.93,,7.17,,13831.03,-3.85,,10-31
76,000927,一汽夏利,-0.63,-10.73,,,,-100294.27,-10.73,,10-31
77,603555,贵人鸟,0.03,-89.16,,0.7,,1605.91,-89.14,,10-31
78,600360,华微电子,0.1,38.67,,3.62,,7814.5,40.49,,10-31
79,600744,华银电力,-0.0,-99.7,,-0.05,,-161.86,-99.72,,10-31
80,000971,高升控股,0.02,-90.79,,0.61,,2245.62,-81.94,,10-31
81,000993,闽东电力,-0.18,-165.48,,-3.75,,-8226.69,-180.4,,10-31
82,600020,中原高速,0.29,-21.46,,6.36,,97901.26,-9.93,,10-31
83,601919,中远海控,0.08,-70.37,,2.64,,86258.6,-68.47,,10-31
84,600039,四川路桥,0.15,8.45,,4.14,,55167.04,26.86,,10-31
85,600086,东方金钰,-0.05,-128.33,,-2.24,,-7098.72,-128.32,,10-31
86,600500,中化国际,0.37,105.56,,6.96,,77280.71,100.64,,10-31
87,000659,珠海中富,0.02,-42.11,,3.58,,2400.71,-42.26,,10-31
88,000679,大连友谊,-0.45,-2887.5,,-12.49,,-15879.04,-2923.03,,10-31
89,603861,白云电器,0.25,23.04,,5.73,,11110.72,29.52,,10-31
90,002107,沃华医药,0.13,-23.53,,8.07,,4611.19,-24.7,,10-31
91,002755,奥赛康,0.06,-14.29,,1.92,,984.12,32.41,,10-31
92,600928,西安银行,,,,,,180036.71,10.33,,10-31
93,603228,景旺电子,1.54,21.26,,18.08,,62868.93,21.71,,10-31
94,601009,南京银行,1.01,14.77,7.64,13.65,2.11,857418.9,15.35,,10-31
95,600232,金鹰股份,0.07,32.08,,2.2,,2553.72,32.46,,10-31
96,000011,深物业A,0.24,-74.98,,4.92,,14418.87,-74.97,,10-31
97,600626,申达股份,0.14,-19.62,,3.7,,9657.59,-19.64,,10-31
98,603318,派思股份,0.03,-78.57,,1.04,,1071.59,-79.31,,10-31
99,600250,南纺股份,0.07,-122.58,,3.91,,1763.04,-122.33,,10-31
100,000031,中粮地产,0.5,72.41,,12.96,,90810.45,72.67,,10-31
101,000836,富通鑫茂,0.07,25.24,,5.15,,7970.31,25.19,,10-31
102,600271,航天信息,0.46,-24.59,,7.99,,85441.89,-23.87,,10-31
103,600289,*ST信通,-0.73,648.45,,-95.54,,-45813.58,648.09,,10-31
104,000893,*ST东凌,0.0,-108.96,,0.17,,324.27,-108.93,,10-31
105,601288,农业银行,0.51,4.08,4.43,11.96,,17161100.0,7.25,,10-31
106,000913,钱江摩托,0.16,45.45,,3.01,,7352.99,43.96,,10-31
107,000420,吉林化纤,0.07,54.39,,4.49,,12800.22,54.44,,10-31
108,000932,华菱钢铁,1.82,112.95,,41.72,,547581.53,112.94,,10-31
109,600733,北汽蓝谷,0.05,2375.0,,0.81,,13250.89,35814.68,,10-31
110,601669,中国电建,0.38,1.89,,7.6,,605093.05,6.35,,10-31
111,603596,伯特利,0.58,16.0,,14.77,,22545.23,22.89,,10-31
112,002605,姚记扑克,0.19,49.77,,4.73,,7683.73,49.7,,10-31
113,601800,中国交建,0.74,10.45,,7.21,,1286135.76,9.66,,10-31
114,600007,中国国贸,0.59,25.53,,8.96,,58982.46,23.63,,10-31
115,600767,ST运盛,-0.05,-550.0,,-7.13,,-1835.7,-536.39,,10-31
116,601881,中国银河,0.18,-47.06,,2.87,,186973.72,-44.74,,10-31
117,600026,中远海能,-0.07,-121.49,,-0.96,,-26831.47,-121.51,,10-31
118,600401,*ST海润,-0.22,18.61,,-155.92,,-104803.12,18.62,,10-31
119,600784,鲁银投资,0.11,936.36,,4.43,,6502.84,980.25,,10-31
120,000592,平潭发展,0.04,639.29,,2.49,,7994.84,641.46,,10-31
121,600072,中船科技,0.0,-82.61,,0.07,,263.39,-84.19,,10-31
122,600823,世茂股份,0.39,5.41,,6.57,,147605.24,5.76,,10-31
123,600107,美尔雅,-0.01,-37.14,,-0.7,,-385.87,-38.79,,10-31
124,002382,蓝帆医疗,0.39,21.88,,9.03,,26060.62,63.66,,10-31
125,603066,音飞储存,0.24,14.96,,7.77,,7192.53,15.26,,10-31
126,600876,洛阳玻璃,0.0,300.0,,0.2,,244.54,329.63,,10-31
127,600893,航发动力,0.29,52.63,,2.5,,65049.8,78.25,,10-31
128,600162,香江控股,0.08,-42.86,,4.48,,28238.93,-37.69,,10-31
129,603167,渤海轮渡,0.67,-9.46,,9.81,,32363.43,-9.67,,10-31
130,603197,保隆科技,0.75,-48.02,,8.91,,12284.75,-15.02,,10-31
131,600599,熊猫金控,-0.16,-528.92,,-3.72,,-2633.86,-526.43,,10-31
132,603259,药明康德,1.94,71.68,,22.62,,192837.63,81.4,,10-31
133,601019,山东出版,0.54,1.89,,12.08,,112124.62,16.26,,10-31
134,000823,超声电子,0.34,37.28,,5.67,,18192.27,37.26,,10-31
135,601107,四川成渝,0.3,-0.27,,6.39,,91207.29,-0.29,,10-31
136,002194,*ST凡谷,-0.09,-85.52,,-3.63,,-5288.29,-85.53,,10-31
137,600259,广晟有色,-0.45,-1600.0,,-7.18,,-13521.26,-1752.23,,10-31
138,600653,申华控股,-0.06,-63.0,,-6.11,,-10716.83,-63.03,,10-31
139,002210,飞马国际,0.08,-27.27,,3.03,,12723.77,-32.2,,10-31
140,000155,川能动力,-0.01,-107.14,,-0.51,,-1549.21,-109.01,,10-31
141,600690,青岛海尔,1.01,7.83,,17.42,,612678.71,7.82,,10-31
142,002564,天沃科技,0.2,-27.86,,4.97,,16156.47,-21.5,,10-31
143,000409,*ST地矿,0.1,-140.39,,6.05,,5145.79,-140.4,,10-31
144,600707,彩虹股份,-0.07,5.71,,-1.32,,-26688.73,420.04,,10-31
145,000429,粤高速A,0.58,-4.92,,13.5,,122030.52,-4.49,,10-31
