,code,name,c_name
0,300563,神宇股份,次新股
1,002453,天马精化,新三板
2,000786,北新建材,雄安新区
3,000786,北新建材,装饰园林
4,000786,北新建材,保障房
5,000786,北新建材,建筑节能
6,000786,北新建材,新三板
7,000786,北新建材,低碳经济
8,000786,北新建材,新能源
9,300015,爱尔眼科,股权激励
10,300015,爱尔眼科,民营医院
11,300015,爱尔眼科,长株潭
12,300541,先进数通,次新股
13,300290,荣科科技,云计算
14,300290,荣科科技,国产软件
15,002035,华帝股份,太阳能
16,002035,华帝股份,业绩预升
17,002035,华帝股份,新能源
18,300118,东方日升,本月解禁
19,300118,东方日升,太阳能
20,300118,东方日升,业绩预升
21,300118,东方日升,创投概念
22,000537,广宇发展,京津冀
23,000537,广宇发展,土地流转
24,002701,奥瑞金,军民融合
25,002701,奥瑞金,业绩预升
26,002701,奥瑞金,体育概念
27,600029,南方航空,融资融券
28,600029,南方航空,含H股
29,600029,南方航空,参股金融
30,600029,南方航空,社保重仓
31,600029,南方航空,央企50
32,600029,南方航空,保险重仓
33,002549,凯美特气,空气治理
34,002549,凯美特气,信托重仓
35,002549,凯美特气,燃料电池
36,002549,凯美特气,业绩预升
37,002549,凯美特气,长株潭
38,600438,通威股份,多晶硅
39,600438,通威股份,太阳能
40,600438,通威股份,成渝特区
41,600438,通威股份,业绩预升
42,600438,通威股份,新能源
43,002032,苏 泊 尔,外资背景
44,002032,苏 泊 尔,股权激励
45,300079,数码科技,金融改革
46,300079,数码科技,宽带提速
47,300079,数码科技,三网融合
48,300079,数码科技,券商重仓
49,300079,数码科技,股权激励
50,002007,华兰生物,融资融券
51,002007,华兰生物,生物疫苗
52,002007,华兰生物,基因概念
53,002007,华兰生物,抗流感
54,002007,华兰生物,基因芯片
55,002007,华兰生物,甲型流感
56,002007,华兰生物,股权激励
57,002007,华兰生物,超级细菌
58,002007,华兰生物,保险重仓
59,000403,ST生化,ST板块
60,000403,ST生化,业绩预升
61,600093,易见股份,成渝特区
62,002463,沪电股份,汽车电子
63,603958,哈森股份,次新股
64,603909,合诚股份,次新股
65,603998,方盛制药,抗癌
66,600249,两面针,参股金融
67,600249,两面针,金融参股
68,600585,海螺水泥,资产注入
69,600585,海螺水泥,皖江区域
70,600585,海螺水泥,信托重仓
71,600585,海螺水泥,融资融券
72,600585,海螺水泥,QFII重仓
73,600585,海螺水泥,含H股
74,600585,海螺水泥,保障房
75,600585,海螺水泥,出口退税
76,600585,海螺水泥,基金重仓
77,600585,海螺水泥,低碳经济
78,600486,扬农化工,沿海发展
79,600486,扬农化工,QFII重仓
80,600486,扬农化工,出口退税
81,600486,扬农化工,草甘膦
82,600486,扬农化工,业绩预升
83,300291,华录百纳,体育概念
84,600563,法拉电子,触摸屏
85,600563,法拉电子,海峡西岸
86,600233,圆通速递,阿里概念
87,600233,圆通速递,振兴沈阳
88,002227,奥 特 迅,核电核能
89,002227,奥 特 迅,充电桩
90,002227,奥 特 迅,低碳经济
91,002227,奥 特 迅,股权激励
92,002227,奥 特 迅,业绩预升
93,000927,一汽夏利,融资融券
94,000927,一汽夏利,参股金融
95,000927,一汽夏利,社保重仓
96,000927,一汽夏利,业绩预降
97,000927,一汽夏利,摘帽概念
98,300567,精测电子,次新股
99,300579,数字认证,次新股
100,600337,美克家居,出口退税
101,600337,美克家居,券商重仓
102,600337,美克家居,股权激励
103,600337,美克家居,奢侈品
104,300331,苏大维格,3D打印
105,300331,苏大维格,业绩预降
106,002699,美盛文化,本月解禁
107,002699,美盛文化,网络游戏
108,002699,美盛文化,参股金融
109,002699,美盛文化,婴童概念
110,002699,美盛文化,农村金融
111,002699,美盛文化,IP变现
112,601318,中国平安,融资融券
113,601318,中国平安,含H股
114,601318,中国平安,超大盘
115,601318,中国平安,基金重仓
116,000040,东旭蓝天,分拆上市
117,000040,东旭蓝天,太阳能
118,000040,东旭蓝天,深圳本地
119,002352,顺丰控股,皖江区域
120,002352,顺丰控股,重组概念
121,002352,顺丰控股,稀土永磁
122,002324,普利特,军民融合
123,002324,普利特,股权激励
124,600176,中国巨石,社保重仓
125,600176,中国巨石,出口退税
126,601966,玲珑轮胎,次新股
127,600036,招商银行,前海概念
128,600036,招商银行,融资融券
129,600036,招商银行,含H股
130,600036,招商银行,超大盘
131,600036,招商银行,基金重仓
132,600036,招商银行,央企50
133,600036,招商银行,保险重仓
134,600036,招商银行,深圳本地
135,600319,亚星化学,O2O模式
136,600319,亚星化学,新零售
137,600319,亚星化学,准ST股
138,600319,亚星化学,ST板块
139,600319,亚星化学,黄河三角
