,code,name,c_name
0,002453,天马精化,化工行业
1,603939,益丰药房,商业百货
2,000786,北新建材,建筑建材
3,300015,爱尔眼科,医疗器械
4,300290,荣科科技,电子信息
5,002035,华帝股份,家电行业
6,300118,东方日升,电子器件
7,300202,聚龙股份,机械行业
8,000537,广宇发展,房地产
9,002701,奥瑞金,印刷包装
10,600029,南方航空,交通运输
11,002549,凯美特气,环保行业
12,600438,通威股份,农林牧渔
13,002032,苏 泊 尔,家电行业
14,002916,深南电路,次新股
15,300079,数码科技,电子信息
16,002007,华兰生物,生物制药
17,000403,ST生化,生物制药
18,600093,易见股份,汽车制造
19,002463,沪电股份,电子器件
20,603997,继峰股份,汽车制造
21,300468,四方精创,其它行业
22,603998,方盛制药,生物制药
23,600249,两面针,化工行业
24,600585,海螺水泥,水泥行业
25,600486,扬农化工,农药化肥
26,300291,华录百纳,传媒娱乐
27,600563,法拉电子,电子器件
28,600233,圆通速递,服装鞋类
29,002227,奥 特 迅,发电设备
30,603288,海天味业,食品行业
31,000927,一汽夏利,汽车制造
32,600337,美克家居,家具行业
33,300331,苏大维格,电子器件
34,601318,中国平安,金融行业
35,000040,东旭蓝天,房地产
36,002352,顺丰控股,其它行业
37,002324,普利特,塑料制品
38,600176,中国巨石,玻璃行业
39,600036,招商银行,金融行业
40,600319,亚星化学,化工行业
41,601111,中国国航,交通运输
42,002601,龙蟒佰利,化工行业
43,000910,大亚圣象,家具行业
44,002631,德尔未来,家具行业
45,600833,第一医药,商业百货
46,002670,国盛金控,电器行业
47,002714,牧原股份,农林牧渔
48,002468,申通快递,建筑建材
49,002690,美亚光电,机械行业
50,002120,韵达股份,家具行业
51,601808,中海油服,石油行业
52,600009,上海机场,交通运输
53,601288,农业银行,金融行业
54,600180,瑞茂通,交通运输
55,002723,金莱特,家电行业
56,000401,冀东水泥,水泥行业
57,300205,天喻信息,电子器件
58,300003,乐普医疗,医疗器械
59,600887,伊利股份,食品行业
60,601933,永辉超市,商业百货
61,002311,海大集团,农林牧渔
62,603188,亚邦股份,化工行业
63,600519,贵州茅台,酿酒行业
64,002646,青青稞酒,酿酒行业
65,002177,御银股份,电子信息
66,600026,中远海能,交通运输
67,600309,万华化学,化工行业
68,600104,上汽集团,汽车制造
69,002447,壹桥股份,农林牧渔
70,600975,新五丰,农林牧渔
71,002738,中矿资源,建筑建材
72,000976,华铁股份,化纤行业
73,600779,水井坊,酿酒行业
74,603009,北特科技,汽车制造
75,600809,山西汾酒,酿酒行业
76,600483,福能股份,电力行业
