,code,name,code_num
0,000001.XSHE,平安银行,000001
1,000002.XSHE,万科A,000002
2,000004.XSHE,国农科技,000004
3,000005.XSHE,世纪星源,000005
4,000006.XSHE,深振业A,000006
5,000007.XSHE,全新好,000007
6,000008.XSHE,神州高铁,000008
7,000009.XSHE,中国宝安,000009
8,000010.XSHE,美丽生态,000010
9,000011.XSHE,深物业A,000011
10,000012.XSHE,南玻A,000012
11,000014.XSHE,沙河股份,000014
12,000016.XSHE,深康佳A,000016
13,000017.XSHE,深中华A,000017
14,000018.XSHE,神州长城,000018
15,000019.XSHE,深粮控股,000019
16,000020.XSHE,深华发A,000020
17,000021.XSHE,深科技,000021
18,000023.XSHE,深天地A,000023
19,000025.XSHE,特力A,000025
20,000026.XSHE,飞亚达A,000026
21,000027.XSHE,深圳能源,000027
22,000028.XSHE,国药一致,000028
23,000029.XSHE,深深房A,000029
24,000030.XSHE,富奥股份,000030
25,000031.XSHE,中粮地产,000031
26,000032.XSHE,深桑达A,000032
27,000034.XSHE,神州数码,000034
28,000035.XSHE,中国天楹,000035
29,000036.XSHE,华联控股,000036
30,000037.XSHE,深南电A,000037
31,000038.XSHE,深大通,000038
32,000039.XSHE,中集集团,000039
33,000040.XSHE,东旭蓝天,000040
34,000042.XSHE,中洲控股,000042
35,000043.XSHE,中航善达,000043
36,000045.XSHE,深纺织A,000045
37,000046.XSHE,泛海控股,000046
38,000048.XSHE,*ST康达,000048
39,000049.XSHE,德赛电池,000049
40,000050.XSHE,深天马A,000050
41,000055.XSHE,方大集团,000055
42,000056.XSHE,皇庭国际,000056
43,000058.XSHE,深赛格,000058
44,000059.XSHE,华锦股份,000059
45,000060.XSHE,中金岭南,000060
46,000061.XSHE,农产品,000061
47,000062.XSHE,深圳华强,000062
48,000063.XSHE,中兴通讯,000063
49,000065.XSHE,北方国际,000065
50,000066.XSHE,中国长城,000066
51,000068.XSHE,华控赛格,000068
52,000069.XSHE,华侨城A,000069
53,000070.XSHE,特发信息,000070
54,000078.XSHE,海王生物,000078
55,000088.XSHE,盐田港,000088
56,000089.XSHE,深圳机场,000089
57,000090.XSHE,天健集团,000090
58,000096.XSHE,广聚能源,000096
59,000099.XSHE,中信海直,000099
60,000100.XSHE,TCL集团,000100
61,000150.XSHE,宜华健康,000150
62,000151.XSHE,中成股份,000151
63,000153.XSHE,丰原药业,000153
64,000155.XSHE,川能动力,000155
65,000156.XSHE,华数传媒,000156
66,000157.XSHE,中联重科,000157
67,000158.XSHE,常山北明,000158
68,000159.XSHE,国际实业,000159
69,000166.XSHE,申万宏源,000166
70,000301.XSHE,东方盛虹,000301
71,000333.XSHE,美的集团,000333
72,000338.XSHE,潍柴动力,000338
73,000400.XSHE,许继电气,000400
74,000401.XSHE,冀东水泥,000401
75,000402.XSHE,金融街,000402
76,000403.XSHE,振兴生化,000403
77,000404.XSHE,长虹华意,000404
78,000407.XSHE,胜利股份,000407
79,000408.XSHE,藏格控股,000408
80,000409.XSHE,*ST地矿,000409
81,000410.XSHE,沈阳机床,000410
82,000411.XSHE,英特集团,000411
83,000413.XSHE,东旭光电,000413
84,000415.XSHE,渤海租赁,000415
85,000416.XSHE,民生控股,000416
86,000417.XSHE,合肥百货,000417
87,000418.XSHE,小天鹅A,000418
88,000419.XSHE,通程控股,000419
89,000420.XSHE,吉林化纤,000420
90,000421.XSHE,南京公用,000421
91,000422.XSHE,*ST宜化,000422
92,000423.XSHE,东阿阿胶,000423
93,000425.XSHE,徐工机械,000425
94,000426.XSHE,兴业矿业,000426
95,000428.XSHE,华天酒店,000428
96,000429.XSHE,粤高速A,000429
97,000430.XSHE,张家界,000430
98,000488.XSHE,晨鸣纸业,000488
99,000498.XSHE,山东路桥,000498
100,000501.XSHE,鄂武商A,000501
101,000502.XSHE,绿景控股,000502
102,000503.XSHE,国新健康,000503
103,000504.XSHE,南华生物,000504
104,000505.XSHE,京粮控股,000505
105,000506.XSHE,中润资源,000506
106,000507.XSHE,珠海港,000507
107,000509.XSHE,华塑控股,000509
108,000510.XSHE,金路集团,000510
109,000513.XSHE,丽珠集团,000513
110,000514.XSHE,渝开发,000514
111,000516.XSHE,国际医学,000516
112,000517.XSHE,荣安地产,000517
113,000518.XSHE,四环生物,000518
114,000519.XSHE,中兵红箭,000519
115,000520.XSHE,长航凤凰,000520
116,000521.XSHE,长虹美菱,000521
117,000523.XSHE,广州浪奇,000523
118,000524.XSHE,岭南控股,000524
119,000525.XSHE,红太阳,000525
120,000526.XSHE,紫光学大,000526
121,000528.XSHE,柳工,000528
122,000529.XSHE,广弘控股,000529
123,000530.XSHE,大冷股份,000530
124,000531.XSHE,穗恒运A,000531
125,000532.XSHE,华金资本,000532
126,000533.XSHE,顺钠股份,000533
127,000534.XSHE,万泽股份,000534
128,000536.XSHE,华映科技,000536
129,000537.XSHE,广宇发展,000537
130,000538.XSHE,云南白药,000538
131,000539.XSHE,粤电力A,000539
132,000540.XSHE,中天金融,000540
133,000541.XSHE,佛山照明,000541
134,000543.XSHE,皖能电力,000543
135,000544.XSHE,中原环保,000544
136,000545.XSHE,金浦钛业,000545
137,000546.XSHE,金圆股份,000546
138,000547.XSHE,航天发展,000547
139,000548.XSHE,湖南投资,000548
140,000550.XSHE,江铃汽车,000550
141,000551.XSHE,创元科技,000551
142,000552.XSHE,靖远煤电,000552
143,000553.XSHE,安道麦A,000553
144,000554.XSHE,泰山石油,000554
145,000555.XSHE,神州信息,000555
146,000557.XSHE,西部创业,000557
147,000558.XSHE,莱茵体育,000558
148,000559.XSHE,万向钱潮,000559
149,000560.XSHE,我爱我家,000560
150,000561.XSHE,烽火电子,000561
151,000563.XSHE,陕国投A,000563
152,000564.XSHE,供销大集,000564
153,000565.XSHE,渝三峡A,000565
154,000566.XSHE,海南海药,000566
155,000567.XSHE,海德股份,000567
156,000568.XSHE,泸州老窖,000568
157,000570.XSHE,苏常柴A,000570
158,000571.XSHE,新大洲A,000571
159,000572.XSHE,海马汽车,000572
160,000573.XSHE,粤宏远A,000573
161,000576.XSHE,广东甘化,000576
162,000581.XSHE,威孚高科,000581
163,000582.XSHE,北部湾港,000582
164,000584.XSHE,哈工智能,000584
165,000585.XSHE,*ST东电,000585
166,000586.XSHE,汇源通信,000586
167,000587.XSHE,金洲慈航,000587
168,000589.XSHE,黔轮胎A,000589
169,000590.XSHE,启迪古汉,000590
170,000591.XSHE,太阳能,000591
171,000592.XSHE,平潭发展,000592
172,000593.XSHE,大通燃气,000593
173,000595.XSHE,宝塔实业,000595
174,000596.XSHE,古井贡酒,000596
175,000597.XSHE,东北制药,000597
176,000598.XSHE,兴蓉环境,000598
177,000599.XSHE,青岛双星,000599
178,000600.XSHE,建投能源,000600
179,000601.XSHE,韶能股份,000601
180,000603.XSHE,盛达矿业,000603
181,000605.XSHE,渤海股份,000605
182,000606.XSHE,顺利办,000606
183,000607.XSHE,华媒控股,000607
184,000608.XSHE,阳光股份,000608
185,000609.XSHE,中迪投资,000609
186,000610.XSHE,西安旅游,000610
187,000611.XSHE,天首发展,000611
188,000612.XSHE,焦作万方,000612
189,000613.XSHE,大东海A,000613
190,000615.XSHE,京汉股份,000615
191,000616.XSHE,海航投资,000616
192,000617.XSHE,中油资本,000617
193,000619.XSHE,海螺型材,000619
194,000620.XSHE,新华联,000620
195,000622.XSHE,恒立实业,000622
196,000623.XSHE,吉林敖东,000623
197,000625.XSHE,长安汽车,000625
198,000626.XSHE,远大控股,000626
199,000627.XSHE,天茂集团,000627
200,000628.XSHE,高新发展,000628
201,000629.XSHE,攀钢钒钛,000629
202,000630.XSHE,铜陵有色,000630
203,000631.XSHE,顺发恒业,000631
204,000632.XSHE,三木集团,000632
205,000633.XSHE,合金投资,000633
206,000635.XSHE,英力特,000635
207,000636.XSHE,风华高科,000636
208,000637.XSHE,茂化实华,000637
209,000638.XSHE,万方发展,000638
210,000639.XSHE,西王食品,000639
211,000650.XSHE,仁和药业,000650
212,000651.XSHE,格力电器,000651
213,000652.XSHE,泰达股份,000652
214,000655.XSHE,*ST金岭,000655
215,000656.XSHE,金科股份,000656
216,000657.XSHE,中钨高新,000657
217,000659.XSHE,珠海中富,000659
218,000661.XSHE,长春高新,000661
219,000662.XSHE,天夏智慧,000662
220,000663.XSHE,永安林业,000663
221,000665.XSHE,湖北广电,000665
222,000666.XSHE,经纬纺机,000666
223,000667.XSHE,美好置业,000667
224,000668.XSHE,荣丰控股,000668
225,000669.XSHE,金鸿控股,000669
226,000670.XSHE,盈方微,000670
227,000671.XSHE,阳光城,000671
228,000672.XSHE,上峰水泥,000672
229,000673.XSHE,当代东方,000673
230,000676.XSHE,智度股份,000676
231,000677.XSHE,恒天海龙,000677
232,000678.XSHE,襄阳轴承,000678
233,000679.XSHE,大连友谊,000679
234,000680.XSHE,山推股份,000680
235,000681.XSHE,视觉中国,000681
236,000682.XSHE,东方电子,000682
237,000683.XSHE,远兴能源,000683
238,000685.XSHE,中山公用,000685
239,000686.XSHE,东北证券,000686
240,000687.XSHE,华讯方舟,000687
241,000688.XSHE,国城矿业,000688
242,000690.XSHE,宝新能源,000690
243,000691.XSHE,亚太实业,000691
244,000692.XSHE,惠天热电,000692
245,000693.XSHE,*ST华泽,000693
246,000695.XSHE,滨海能源,000695
247,000697.XSHE,炼石航空,000697
248,000698.XSHE,沈阳化工,000698
249,000700.XSHE,模塑科技,000700
250,000701.XSHE,厦门信达,000701
251,000702.XSHE,正虹科技,000702
252,000703.XSHE,恒逸石化,000703
253,000705.XSHE,浙江震元,000705
254,000707.XSHE,*ST双环,000707
255,000708.XSHE,大冶特钢,000708
256,000709.XSHE,河钢股份,000709
257,000710.XSHE,贝瑞基因,000710
258,000711.XSHE,京蓝科技,000711
259,000712.XSHE,锦龙股份,000712
260,000713.XSHE,丰乐种业,000713
261,000715.XSHE,中兴商业,000715
262,000716.XSHE,黑芝麻,000716
263,000717.XSHE,韶钢松山,000717
264,000718.XSHE,苏宁环球,000718
265,000719.XSHE,中原传媒,000719
266,000720.XSHE,*ST新能,000720
267,000721.XSHE,西安饮食,000721
268,000722.XSHE,湖南发展,000722
269,000723.XSHE,美锦能源,000723
270,000725.XSHE,京东方A,000725
271,000726.XSHE,鲁泰A,000726
272,000727.XSHE,华东科技,000727
273,000728.XSHE,国元证券,000728
274,000729.XSHE,燕京啤酒,000729
275,000731.XSHE,四川美丰,000731
276,000732.XSHE,泰禾集团,000732
277,000733.XSHE,振华科技,000733
278,000735.XSHE,罗牛山,000735
279,000736.XSHE,中交地产,000736
280,000737.XSHE,*ST南风,000737
281,000738.XSHE,航发控制,000738
282,000739.XSHE,普洛药业,000739
283,000750.XSHE,国海证券,000750
284,000751.XSHE,锌业股份,000751
285,000752.XSHE,西藏发展,000752
286,000753.XSHE,漳州发展,000753
287,000755.XSHE,山西路桥,000755
288,000756.XSHE,新华制药,000756
289,000757.XSHE,浩物股份,000757
290,000758.XSHE,中色股份,000758
291,000759.XSHE,中百集团,000759
292,000760.XSHE,斯太尔,000760
293,000761.XSHE,本钢板材,000761
294,000762.XSHE,西藏矿业,000762
295,000766.XSHE,通化金马,000766
296,000767.XSHE,漳泽电力,000767
297,000768.XSHE,中航飞机,000768
298,000776.XSHE,广发证券,000776
299,000777.XSHE,中核科技,000777
300,000778.XSHE,新兴铸管,000778
301,000779.XSHE,三毛派神,000779
302,000780.XSHE,平庄能源,000780
303,000782.XSHE,美达股份,000782
304,000783.XSHE,长江证券,000783
305,000785.XSHE,武汉中商,000785
306,000786.XSHE,北新建材,000786
307,000788.XSHE,北大医药,000788
308,000789.XSHE,万年青,000789
309,000790.XSHE,泰合健康,000790
310,000791.XSHE,甘肃电投,000791
311,000792.XSHE,盐湖股份,000792
312,000793.XSHE,华闻传媒,000793
313,000795.XSHE,英洛华,000795
314,000796.XSHE,凯撒旅游,000796
315,000797.XSHE,中国武夷,000797
316,000798.XSHE,中水渔业,000798
317,000799.XSHE,酒鬼酒,000799
318,000800.XSHE,一汽轿车,000800
319,000801.XSHE,四川九洲,000801
320,000802.XSHE,北京文化,000802
321,000803.XSHE,金宇车城,000803
322,000806.XSHE,银河生物,000806
323,000807.XSHE,云铝股份,000807
324,000809.XSHE,铁岭新城,000809
325,000810.XSHE,创维数字,000810
326,000811.XSHE,冰轮环境,000811
327,000812.XSHE,陕西金叶,000812
328,000813.XSHE,德展健康,000813
329,000815.XSHE,美利云,000815
330,000816.XSHE,*ST慧业,000816
331,000818.XSHE,航锦科技,000818
332,000819.XSHE,岳阳兴长,000819
333,000820.XSHE,神雾节能,000820
334,000821.XSHE,京山轻机,000821
335,000822.XSHE,山东海化,000822
336,000823.XSHE,超声电子,000823
337,000825.XSHE,太钢不锈,000825
338,000826.XSHE,启迪桑德,000826
339,000828.XSHE,东莞控股,000828
340,000829.XSHE,天音控股,000829
341,000830.XSHE,鲁西化工,000830
342,000831.XSHE,五矿稀土,000831
343,000833.XSHE,粤桂股份,000833
344,000835.XSHE,长城动漫,000835
345,000836.XSHE,富通鑫茂,000836
346,000837.XSHE,秦川机床,000837
347,000838.XSHE,财信发展,000838
348,000839.XSHE,中信国安,000839
349,000848.XSHE,承德露露,000848
350,000850.XSHE,华茂股份,000850
351,000851.XSHE,高鸿股份,000851
352,000852.XSHE,石化机械,000852
353,000856.XSHE,冀东装备,000856
354,000858.XSHE,五粮液,000858
355,000859.XSHE,国风塑业,000859
356,000860.XSHE,顺鑫农业,000860
357,000861.XSHE,海印股份,000861
358,000862.XSHE,银星能源,000862
359,000863.XSHE,三湘印象,000863
360,000868.XSHE,安凯客车,000868
361,000869.XSHE,张裕A,000869
362,000875.XSHE,吉电股份,000875
363,000876.XSHE,新希望,000876
364,000877.XSHE,天山股份,000877
365,000878.XSHE,云南铜业,000878
366,000880.XSHE,潍柴重机,000880
367,000881.XSHE,中广核技,000881
368,000882.XSHE,华联股份,000882
369,000883.XSHE,湖北能源,000883
370,000885.XSHE,城发环境,000885
371,000886.XSHE,海南高速,000886
372,000887.XSHE,中鼎股份,000887
373,000888.XSHE,峨眉山A,000888
374,000889.XSHE,中嘉博创,000889
375,000890.XSHE,法尔胜,000890
376,000892.XSHE,欢瑞世纪,000892
377,000893.XSHE,*ST东凌,000893
378,000895.XSHE,双汇发展,000895
379,000897.XSHE,津滨发展,000897
380,000898.XSHE,鞍钢股份,000898
381,000899.XSHE,赣能股份,000899
382,000900.XSHE,现代投资,000900
383,000901.XSHE,航天科技,000901
384,000902.XSHE,新洋丰,000902
385,000903.XSHE,云内动力,000903
386,000905.XSHE,厦门港务,000905
387,000906.XSHE,浙商中拓,000906
388,000908.XSHE,景峰医药,000908
389,000909.XSHE,数源科技,000909
390,000910.XSHE,大亚圣象,000910
391,000911.XSHE,南宁糖业,000911
392,000912.XSHE,*ST天化,000912
393,000913.XSHE,钱江摩托,000913
394,000915.XSHE,山大华特,000915
395,000917.XSHE,电广传媒,000917
396,000918.XSHE,嘉凯城,000918
397,000919.XSHE,金陵药业,000919
398,000920.XSHE,南方汇通,000920
399,000921.XSHE,海信家电,000921
400,000922.XSHE,佳电股份,000922
401,000923.XSHE,河北宣工,000923
402,000925.XSHE,众合科技,000925
403,000926.XSHE,福星股份,000926
404,000927.XSHE,一汽夏利,000927
405,000928.XSHE,中钢国际,000928
406,000929.XSHE,兰州黄河,000929
407,000930.XSHE,中粮生化,000930
408,000931.XSHE,中关村,000931
409,000932.XSHE,华菱钢铁,000932
410,000933.XSHE,神火股份,000933
411,000935.XSHE,四川双马,000935
412,000936.XSHE,华西股份,000936
413,000937.XSHE,冀中能源,000937
414,000938.XSHE,紫光股份,000938
415,000939.XSHE,*ST凯迪,000939
416,000948.XSHE,南天信息,000948
417,000949.XSHE,新乡化纤,000949
418,000950.XSHE,重药控股,000950
419,000951.XSHE,中国重汽,000951
420,000952.XSHE,广济药业,000952
421,000953.XSHE,ST河化,000953
422,000955.XSHE,欣龙控股,000955
423,000957.XSHE,中通客车,000957
424,000958.XSHE,东方能源,000958
425,000959.XSHE,首钢股份,000959
426,000960.XSHE,锡业股份,000960
427,000961.XSHE,中南建设,000961
428,000962.XSHE,东方钽业,000962
429,000963.XSHE,华东医药,000963
430,000965.XSHE,天保基建,000965
431,000966.XSHE,长源电力,000966
432,000967.XSHE,盈峰环境,000967
433,000968.XSHE,蓝焰控股,000968
434,000969.XSHE,安泰科技,000969
435,000970.XSHE,中科三环,000970
436,000971.XSHE,高升控股,000971
437,000972.XSHE,ST中基,000972
438,000973.XSHE,佛塑科技,000973
439,000975.XSHE,银泰资源,000975
440,000976.XSHE,华铁股份,000976
441,000977.XSHE,浪潮信息,000977
442,000978.XSHE,桂林旅游,000978
443,000980.XSHE,众泰汽车,000980
444,000981.XSHE,银亿股份,000981
445,000982.XSHE,*ST中绒,000982
446,000983.XSHE,西山煤电,000983
447,000985.XSHE,大庆华科,000985
448,000987.XSHE,越秀金控,000987
449,000988.XSHE,华工科技,000988
450,000989.XSHE,九芝堂,000989
451,000990.XSHE,诚志股份,000990
452,000993.XSHE,闽东电力,000993
453,000995.XSHE,*ST皇台,000995
454,000996.XSHE,中国中期,000996
455,000997.XSHE,新大陆,000997
456,000998.XSHE,隆平高科,000998
457,000999.XSHE,华润三九,000999
458,001696.XSHE,宗申动力,001696
459,001872.XSHE,招商港口,001872
460,001896.XSHE,豫能控股,001896
461,001965.XSHE,招商公路,001965
462,001979.XSHE,招商蛇口,001979
463,002001.XSHE,新和成,002001
464,002002.XSHE,鸿达兴业,002002
465,002003.XSHE,伟星股份,002003
466,002004.XSHE,华邦健康,002004
467,002005.XSHE,德豪润达,002005
468,002006.XSHE,精功科技,002006
469,002007.XSHE,华兰生物,002007
470,002008.XSHE,大族激光,002008
471,002009.XSHE,天奇股份,002009
472,002010.XSHE,传化智联,002010
473,002011.XSHE,盾安环境,002011
